# Zbiory
set TYPES := A B C;
set MONTHS := Jan Feb;
set SCENARIOS := S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25 S26 S27 S28 S29 S30 S31 S32 S33 S34 S35 S36 S37 S38 S39 S40 S41 S42 S43 S44 S45 S46 S47 S48 S49 S50 S51 S52 S53 S54 S55 S56 S57 S58 S59 S60 S61 S62 S63 S64 S65 S66 S67 S68 S69 S70 S71 S72 S73 S74 S75 S76 S77 S78 S79 S80 S81 S82 S83 S84 S85 S86 S87 S88 S89 S90 S91 S92 S93 S94 S95 S96 S97 S98 S99 S100;
# Parametry ogólne
param sell_price := 170;    # cena sprzeda¿y produktu [z³/tonê]
param stor_cost := 10;      # koszt magazynowania [z³/tonê]
param stor_cap := 800;      # maksymalny stan magazynowy [ton]

param init_inv :=
    A 200  
    B 200
    C 200; 
param price :=
    A Jan S1 116
    A Feb S1 107
    B Jan S1 110
    B Feb S1 92
    C Jan S1 107
    C Feb S1 113
    A Jan S2 117
    A Feb S2 107
    B Jan S2 114
    B Feb S2 100
    C Jan S2 108
    C Feb S2 106
    A Jan S3 115
    A Feb S3 96
    B Jan S3 112
    B Feb S3 106
    C Jan S3 99
    C Feb S3 111
    A Jan S4 116
    A Feb S4 99
    B Jan S4 112
    B Feb S4 103
    C Jan S4 105
    C Feb S4 111
    A Jan S5 117
    A Feb S5 105
    B Jan S5 111
    B Feb S5 114
    C Jan S5 108
    C Feb S5 105
    A Jan S6 115
    A Feb S6 98
    B Jan S6 112
    B Feb S6 106
    C Jan S6 109
    C Feb S6 109
    A Jan S7 116
    A Feb S7 103
    B Jan S7 111
    B Feb S7 106
    C Jan S7 105
    C Feb S7 110
    A Jan S8 115
    A Feb S8 100
    B Jan S8 113
    B Feb S8 96
    C Jan S8 107
    C Feb S8 111
    A Jan S9 116
    A Feb S9 98
    B Jan S9 116
    B Feb S9 102
    C Jan S9 109
    C Feb S9 112
    A Jan S10 116
    A Feb S10 96
    B Jan S10 112
    B Feb S10 92
    C Jan S10 108
    C Feb S10 113
    A Jan S11 116
    A Feb S11 110
    B Jan S11 110
    B Feb S11 94
    C Jan S11 102
    C Feb S11 105
    A Jan S12 115
    A Feb S12 104
    B Jan S12 111
    B Feb S12 93
    C Jan S12 113
    C Feb S12 111
    A Jan S13 118
    A Feb S13 112
    B Jan S13 109
    B Feb S13 99
    C Jan S13 110
    C Feb S13 109
    A Jan S14 120
    A Feb S14 104
    B Jan S14 115
    B Feb S14 107
    C Jan S14 113
    C Feb S14 112
    A Jan S15 115
    A Feb S15 96
    B Jan S15 114
    B Feb S15 107
    C Jan S15 110
    C Feb S15 113
    A Jan S16 118
    A Feb S16 94
    B Jan S16 117
    B Feb S16 103
    C Jan S16 114
    C Feb S16 111
    A Jan S17 115
    A Feb S17 100
    B Jan S17 113
    B Feb S17 120
    C Jan S17 98
    C Feb S17 110
    A Jan S18 115
    A Feb S18 98
    B Jan S18 117
    B Feb S18 84
    C Jan S18 113
    C Feb S18 113
    A Jan S19 116
    A Feb S19 99
    B Jan S19 111
    B Feb S19 92
    C Jan S19 108
    C Feb S19 110
    A Jan S20 117
    A Feb S20 97
    B Jan S20 113
    B Feb S20 98
    C Jan S20 106
    C Feb S20 116
    A Jan S21 113
    A Feb S21 100
    B Jan S21 113
    B Feb S21 104
    C Jan S21 107
    C Feb S21 104
    A Jan S22 116
    A Feb S22 104
    B Jan S22 114
    B Feb S22 101
    C Jan S22 106
    C Feb S22 109
    A Jan S23 116
    A Feb S23 102
    B Jan S23 112
    B Feb S23 101
    C Jan S23 105
    C Feb S23 112
    A Jan S24 115
    A Feb S24 104
    B Jan S24 113
    B Feb S24 97
    C Jan S24 105
    C Feb S24 105
    A Jan S25 115
    A Feb S25 94
    B Jan S25 115
    B Feb S25 94
    C Jan S25 111
    C Feb S25 112
    A Jan S26 115
    A Feb S26 108
    B Jan S26 111
    B Feb S26 106
    C Jan S26 108
    C Feb S26 110
    A Jan S27 115
    A Feb S27 95
    B Jan S27 113
    B Feb S27 98
    C Jan S27 107
    C Feb S27 107
    A Jan S28 116
    A Feb S28 103
    B Jan S28 116
    B Feb S28 107
    C Jan S28 107
    C Feb S28 111
    A Jan S29 115
    A Feb S29 101
    B Jan S29 115
    B Feb S29 113
    C Jan S29 106
    C Feb S29 108
    A Jan S30 116
    A Feb S30 104
    B Jan S30 111
    B Feb S30 98
    C Jan S30 103
    C Feb S30 109
    A Jan S31 117
    A Feb S31 101
    B Jan S31 112
    B Feb S31 94
    C Jan S31 111
    C Feb S31 115
    A Jan S32 115
    A Feb S32 96
    B Jan S32 112
    B Feb S32 101
    C Jan S32 105
    C Feb S32 108
    A Jan S33 115
    A Feb S33 101
    B Jan S33 114
    B Feb S33 80
    C Jan S33 109
    C Feb S33 111
    A Jan S34 116
    A Feb S34 96
    B Jan S34 114
    B Feb S34 96
    C Jan S34 108
    C Feb S34 110
    A Jan S35 117
    A Feb S35 101
    B Jan S35 112
    B Feb S35 112
    C Jan S35 111
    C Feb S35 111
    A Jan S36 116
    A Feb S36 118
    B Jan S36 107
    B Feb S36 97
    C Jan S36 103
    C Feb S36 108
    A Jan S37 116
    A Feb S37 102
    B Jan S37 113
    B Feb S37 93
