param price :=
    A Jan S1 115
    A Feb S1 96
    B Jan S1 112
    B Feb S1 102
    C Jan S1 98
    C Feb S1 111
    A Jan S2 116
    A Feb S2 106
    B Jan S2 111
    B Feb S2 97
    C Jan S2 105
    C Feb S2 111
    A Jan S3 115
    A Feb S3 103
    B Jan S3 110
    B Feb S3 99
    C Jan S3 100
    C Feb S3 107
    A Jan S4 116
    A Feb S4 103
    B Jan S4 113
    B Feb S4 91
    C Jan S4 107
    C Feb S4 113
    A Jan S5 114
    A Feb S5 93
    B Jan S5 113
    B Feb S5 98
    C Jan S5 103
    C Feb S5 104
    A Jan S6 114
    A Feb S6 97
    B Jan S6 114
    B Feb S6 96
    C Jan S6 110
    C Feb S6 107
    A Jan S7 117
    A Feb S7 104
    B Jan S7 110
    B Feb S7 110
    C Jan S7 102
    C Feb S7 113
    A Jan S8 115
    A Feb S8 99
    B Jan S8 112
    B Feb S8 96
    C Jan S8 107
    C Feb S8 108
    A Jan S9 116
    A Feb S9 105
    B Jan S9 114
    B Feb S9 91
    C Jan S9 108
    C Feb S9 109
    A Jan S10 116
    A Feb S10 103
    B Jan S10 113
    B Feb S10 94
    C Jan S10 108
    C Feb S10 112
    A Jan S11 116
    A Feb S11 103
    B Jan S11 111
    B Feb S11 102
    C Jan S11 107
    C Feb S11 109
    A Jan S12 115
    A Feb S12 98
    B Jan S12 111
    B Feb S12 91
    C Jan S12 101
    C Feb S12 118
    A Jan S13 116
    A Feb S13 105
    B Jan S13 110
    B Feb S13 95
    C Jan S13 112
    C Feb S13 108
    A Jan S14 116
    A Feb S14 105
    B Jan S14 110
    B Feb S14 111
    C Jan S14 104
    C Feb S14 112
    A Jan S15 116
    A Feb S15 104
    B Jan S15 112
    B Feb S15 101
    C Jan S15 107
    C Feb S15 106
    A Jan S16 116
    A Feb S16 109
    B Jan S16 115
    B Feb S16 103
    C Jan S16 107
    C Feb S16 109
    A Jan S17 114
    A Feb S17 100
    B Jan S17 112
    B Feb S17 90
    C Jan S17 108
    C Feb S17 106
    A Jan S18 117
    A Feb S18 99
    B Jan S18 113
    B Feb S18 108
    C Jan S18 110
    C Feb S18 108
    A Jan S19 116
    A Feb S19 108
    B Jan S19 113
    B Feb S19 89
    C Jan S19 107
    C Feb S19 109
    A Jan S20 115
    A Feb S20 95
    B Jan S20 112
    B Feb S20 99
    C Jan S20 109
    C Feb S20 108
    A Jan S21 115
    A Feb S21 103
    B Jan S21 113
    B Feb S21 90
    C Jan S21 106
    C Feb S21 110
    A Jan S22 117
    A Feb S22 106
    B Jan S22 111
    B Feb S22 95
    C Jan S22 108
    C Feb S22 108
    A Jan S23 117
    A Feb S23 105
    B Jan S23 112
    B Feb S23 103
    C Jan S23 100
    C Feb S23 112
    A Jan S24 116
    A Feb S24 116
    B Jan S24 111
    B Feb S24 98
    C Jan S24 103
    C Feb S24 111
    A Jan S25 116
    A Feb S25 106
    B Jan S25 112
    B Feb S25 95
    C Jan S25 113
    C Feb S25 108
    A Jan S26 115
    A Feb S26 105
    B Jan S26 111
    B Feb S26 100
    C Jan S26 99
    C Feb S26 113
    A Jan S27 116
    A Feb S27 99
    B Jan S27 110
    B Feb S27 86
    C Jan S27 108
    C Feb S27 110
    A Jan S28 114
    A Feb S28 106
    B Jan S28 110
    B Feb S28 91
    C Jan S28 108
    C Feb S28 105
    A Jan S29 115
    A Feb S29 90
    B Jan S29 114
    B Feb S29 105
    C Jan S29 110
    C Feb S29 107
    A Jan S30 117
    A Feb S30 104
    B Jan S30 110
    B Feb S30 98
    C Jan S30 106
    C Feb S30 110
    A Jan S31 115
    A Feb S31 93
    B Jan S31 112
    B Feb S31 100
    C Jan S31 109
    C Feb S31 109
    A Jan S32 116
    A Feb S32 113
    B Jan S32 111
    B Feb S32 95
    C Jan S32 111
    C Feb S32 107
    A Jan S33 116
    A Feb S33 120
    B Jan S33 112
    B Feb S33 100
    C Jan S33 104
    C Feb S33 107
    A Jan S34 115
    A Feb S34 100
    B Jan S34 114
    B Feb S34 102
    C Jan S34 102
    C Feb S34 109
    A Jan S35 116
    A Feb S35 93
    B Jan S35 110
    B Feb S35 80
    C Jan S35 103
    C Feb S35 116
    A Jan S36 115
    A Feb S36 108
    B Jan S36 113
    B Feb S36 97
    C Jan S36 107
    C Feb S36 111
    A Jan S37 115
    A Feb S37 104
    B Jan S37 113
    B Feb S37 103
