param price :=
    A Jan S1 114
    A Feb S1 102
    B Jan S1 112
    B Feb S1 77
    C Jan S1 112
    C Feb S1 104
    A Jan S2 113
    A Feb S2 101
    B Jan S2 126
    B Feb S2 82
    C Jan S2 100
    C Feb S2 118
    A Jan S3 117
    A Feb S3 118
    B Jan S3 119
    B Feb S3 95
    C Jan S3 103
    C Feb S3 104
    A Jan S4 106
    A Feb S4 98
    B Jan S4 120
    B Feb S4 94
    C Jan S4 101
    C Feb S4 112
    A Jan S5 110
    A Feb S5 108
    B Jan S5 116
    B Feb S5 92
    C Jan S5 113
    C Feb S5 105
    A Jan S6 118
    A Feb S6 103
    B Jan S6 92
    B Feb S6 102
    C Jan S6 117
    C Feb S6 119
    A Jan S7 111
    A Feb S7 96
    B Jan S7 101
    B Feb S7 88
    C Jan S7 86
    C Feb S7 108
    A Jan S8 112
    A Feb S8 111
    B Jan S8 114
    B Feb S8 97
    C Jan S8 110
    C Feb S8 107
    A Jan S9 115
    A Feb S9 101
    B Jan S9 114
    B Feb S9 109
    C Jan S9 96
    C Feb S9 104
    A Jan S10 110
    A Feb S10 103
    B Jan S10 119
    B Feb S10 104
    C Jan S10 111
    C Feb S10 106
    A Jan S11 117
    A Feb S11 101
    B Jan S11 115
    B Feb S11 98
    C Jan S11 114
    C Feb S11 112
    A Jan S12 117
    A Feb S12 93
    B Jan S12 114
    B Feb S12 102
    C Jan S12 83
    C Feb S12 112
    A Jan S13 119
    A Feb S13 108
    B Jan S13 117
    B Feb S13 112
    C Jan S13 102
    C Feb S13 107
    A Jan S14 118
    A Feb S14 99
    B Jan S14 121
    B Feb S14 99
    C Jan S14 110
    C Feb S14 111
    A Jan S15 105
    A Feb S15 105
    B Jan S15 110
    B Feb S15 103
    C Jan S15 128
    C Feb S15 117
    A Jan S16 105
    A Feb S16 93
    B Jan S16 111
    B Feb S16 90
    C Jan S16 103
    C Feb S16 113
    A Jan S17 116
    A Feb S17 103
    B Jan S17 112
    B Feb S17 101
    C Jan S17 108
    C Feb S17 111
    A Jan S18 115
    A Feb S18 98
    B Jan S18 114
    B Feb S18 95
    C Jan S18 103
    C Feb S18 108
    A Jan S19 111
    A Feb S19 103
    B Jan S19 124
    B Feb S19 92
    C Jan S19 114
    C Feb S19 109
    A Jan S20 115
    A Feb S20 99
    B Jan S20 101
    B Feb S20 102
    C Jan S20 114
    C Feb S20 107
    A Jan S21 117
    A Feb S21 102
    B Jan S21 115
    B Feb S21 107
    C Jan S21 99
    C Feb S21 111
    A Jan S22 120
    A Feb S22 99
    B Jan S22 111
    B Feb S22 107
    C Jan S22 106
    C Feb S22 109
    A Jan S23 113
    A Feb S23 100
